Tier,FICO,Approve Date,Term,Amount,Car  Type,Competition rate,Accept?,Rate,Cost of Funds,Partner Bin
3,695,7/1/02,72,35000,N,6.25,0,7.49,1.8388,1
1,751,7/1/02,60,40000,N,5.65,0,5.49,1.8388,3
1,731,7/1/02,60,18064,N,5.65,0,5.49,1.8388,3
4,652,7/1/02,72,15415,N,6.25,0,8.99,1.8388,3
1,730,7/1/02,48,32000,N,5.65,0,5.49,1.8388,1
2,725,7/1/02,36,10000,N,4.95,0,5.79,1.8388,3
1,808,7/1/02,72,19000,N,6.25,0,6.59,1.8388,3
1,779,7/1/02,48,25000,U,5.85,0,5.85,1.8388,3
4,664,7/1/02,72,7500,N,6.25,0,8.99,1.8388,3
2,706,7/1/02,60,22000,N,5.65,0,5.79,1.8388,3
4,666,7/1/02,60,13000,N,5.65,0,7.99,1.8388,3
2,712,7/1/02,48,16000,N,5.65,0,5.79,1.8388,1
1,733,7/1/02,48,23619,N,5.65,0,4.85,1.8388,1
1,746,7/1/02,48,11500,U,5.85,0,5.85,1.8388,1
3,680,7/1/02,72,37000,N,6.25,0,7.49,1.8388,3
1,752,7/1/02,72,16000,N,6.25,0,6.59,1.8388,1
2,719,7/1/02,60,21000,N,5.65,0,5.79,1.8388,3
1,730,7/1/02,60,17603,N,5.65,0,5.49,1.8388,3
2,710,7/1/02,60,20000,N,5.65,0,5.79,1.8388,3
3,696,7/1/02,60,21000,N,5.65,0,6.99,1.8388,3
2,708,7/1/02,72,40000,N,6.25,0,6.99,1.8388,1
3,694,7/1/02,60,24000,N,5.65,0,6.99,1.8388,3
1,731,7/1/02,72,30000,N,6.25,0,6.59,1.8388,3
3,672,7/1/02,72,20000,U,6.45,0,7.69,1.8388,3
3,696,7/1/02,36,10000,N,4.95,0,6.99,1.8388,3
1,743,7/1/02,60,16800,N,5.65,0,5.49,1.8388,3
2,708,7/1/02,60,46000,N,5.65,0,5.79,1.8388,3
