date,user,conversion,experiment,time_spend
9/13/20,979991,1,A,10
9/12/20,796163,1,A,20
9/11/20,259396,0,A,22
9/10/20,383496,0,A,10
9/9/20,51504,1,A,20
9/8/20,414894,1,A,22
9/7/20,866055,1,A,10
9/6/20,775677,1,A,20
9/5/20,636278,0,A,22
9/4/20,355665,0,A,10
9/3/20,294838,0,A,20
9/2/20,427470,1,A,22
9/1/20,160544,1,A,10
8/31/20,633658,0,A,20
8/30/20,546158,0,A,22
8/29/20,85173,0,A,10
8/28/20,580862,0,A,20
8/27/20,365361,1,A,22
8/26/20,969502,0,B,50
8/25/20,447929,0,B,50
8/24/20,607660,0,B,22
8/23/20,891506,0,B,10
8/22/20,174212,0,B,20
8/21/20,449895,0,B,22
8/20/20,394312,0,B,10
8/19/20,260565,0,B,20
8/18/20,23763,0,B,22
8/17/20,499901,0,B,10
8/16/20,213939,0,B,20
8/15/20,11032,0,B,22
8/14/20,762394,0,B,10
8/13/20,957400,0,B,20
8/12/20,937367,0,B,22
8/11/20,260864,0,B,10
8/10/20,417748,0,B,20
8/9/20,347256,0,B,22
8/8/20,218649,0,B,10
8/7/20,346001,0,B,20
8/6/20,712299,0,B,22
8/5/20,382576,0,B,10
8/4/20,891254,0,A,20
8/3/20,694089,1,A,22
8/2/20,470265,0,A,10
8/1/20,502832,0,A,20
7/31/20,770089,1,A,22
7/30/20,675646,1,A,10
7/29/20,826007,1,A,20
7/28/20,197830,1,A,22
7/27/20,55839,0,A,10
7/26/20,465083,0,A,20
7/25/20,729501,0,A,22
7/24/20,911093,1,A,10
7/23/20,546174,1,A,20
7/22/20,35377,0,A,22
7/21/20,696083,0,A,10
7/20/20,271561,0,A,20
7/19/20,333952,0,A,22
7/18/20,403233,1,A,10
7/17/20,631643,0,B,20
7/16/20,571546,0,B,22
7/15/20,581793,0,B,10
7/14/20,412915,0,B,20
7/13/20,25806,0,B,22
7/12/20,555284,0,B,10
7/11/20,11715,0,B,20
7/10/20,297896,0,B,22
7/9/20,160518,0,B,10
7/8/20,771233,0,B,20
7/7/20,451778,0,B,22
7/6/20,525415,0,B,10
7/5/20,737395,0,B,20
7/4/20,515035,0,B,22
7/3/20,457101,0,B,10
7/2/20,676472,0,B,20
7/1/20,451922,0,B,22
6/30/20,718585,0,B,10
6/29/20,233499,0,B,20
6/28/20,802464,0,B,22
6/27/20,679881,0,B,10
6/26/20,162262,0,B,20
6/25/20,823585,0,A,22
6/24/20,796279,1,A,10
6/23/20,294114,0,A,20
6/22/20,489578,0,A,22
6/21/20,58623,1,A,10
6/20/20,87141,1,A,20
6/19/20,533820,1,A,22
6/18/20,356362,1,A,10
6/17/20,964828,0,A,20
6/16/20,373069,0,A,22
6/15/20,502657,0,A,10
6/14/20,411168,1,A,20
6/13/20,298895,1,A,22
6/12/20,686493,0,A,10
6/11/20,661419,0,A,20
6/10/20,420471,0,A,22
6/9/20,572759,0,A,10
6/8/20,693102,1,A,20
6/7/20,110911,0,B,22
6/6/20,362234,0,B,10
6/5/20,691868,0,B,20
6/4/20,646771,0,B,22
6/3/20,762674,0,B,10
6/2/20,833172,0,B,20
6/1/20,909765,0,B,22
5/31/20,400141,0,B,10
5/30/20,459415,0,B,20
5/29/20,113060,0,B,22
5/28/20,622254,0,B,10
5/27/20,766552,0,B,20
5/26/20,538704,0,B,22
5/25/20,564744,0,B,10
5/24/20,571427,0,B,20
5/23/20,482948,0,B,22
5/22/20,2877,0,B,10
5/21/20,183248,0,B,20
5/20/20,685232,0,B,22
5/19/20,731405,0,B,10
5/18/20,445474,0,B,20
5/17/20,109505,0,B,22
5/16/20,694555,0,A,10
5/15/20,271053,1,A,20
5/14/20,785202,0,A,22
5/13/20,618376,0,A,10
5/12/20,673069,1,A,20
5/11/20,154310,1,A,22
5/10/20,512730,1,A,10
5/9/20,225305,1,A,20
5/8/20,499765,0,A,22
5/7/20,767908,0,A,10
5/6/20,305429,0,A,20
5/5/20,166234,1,A,22
5/4/20,170541,1,A,10
5/3/20,768315,0,A,20
5/2/20,439193,1,A,22
5/1/20,430349,0,A,10
4/30/20,70031,0,A,20
4/29/20,729646,1,A,22
4/28/20,552384,0,B,10
4/27/20,929320,0,B,20
4/26/20,304492,0,B,22
4/25/20,54652,0,B,10
4/24/20,991062,0,B,20
4/23/20,317309,0,B,22
4/22/20,632414,0,B,10
4/21/20,616848,0,B,20
4/20/20,43932,0,B,22
4/19/20,77390,0,B,10
4/18/20,471389,0,B,20
